Timestamp,Which apartment building do you/have you lived in? (ie: Skyloft),What school year did you live there?,What was your monthly rent amount?,How many bedrooms were in your apartment?,Was your apartment double occupant?,How many bathrooms were in your apartment?,Please select the below that applied to your apartment,"On a scale of 1 (horrible) to 5 (great), how was your overall experience at the building?",Year Built
27:47.0,Croix,2022-2023,1800.0,2,No,2,"Includes a parking lot, Unfurnished, No gym, No pool",2,1982
28:13.0,Skyloft,2022-2023,1100.0,3,No,3,,4,2018
28:20.0,Croix,2021-2022,1650.0,2,No,2,"Includes a parking lot, No gym, No pool",2,1982
29:44.3,Skyloft,2022-2023,1050.0,3,No,3,,4,2018
30:13.2,Ion,2021-2022,1000.0,3,No,3,No window,1,2017
30:20.6,Lark,2021-2022,1000.0,4,No,4,,5,2019
30:37.6,Crest at Pearl,2022-2023,1015.0,4,No,4,Includes a parking lot,4,2015
30:56.9,Nine at Rio,2021-2022,1200.0,4,No,4,,5,2019
31:27.5,Yugo Austin Nueces,2021-2022,1035.0,4,No,2,No window,3,2018
31:34.8,Villas on San Gabriel,2023-2024,1400.0,3,No,3,Includes a parking lot,3,2018
31:51.6,Ion,2020-2021,1250.0,4,No,4,,4,2017
33:52.8,Callaway,2020-2021,1400.0,4,No,4,,4,2013
14:10.8,Legacy on Rio,2022-2023,1130.0,4,No,4,No pool,2,2021
18:00.5,GrandMarc,2022-2023,1000.0,4,No,4,,4,2012
30:40.8,Legacy on Rio,2022-2023,1100.0,4,No,4,"Includes a parking lot, No pool",2,2021
42:34.6,Regents West on 26th,2022-2023,854.0,4,No,2,"Unfurnished, No pool",5,2012
43:07.4,Texan Pearl,2021-2022,1050.0,2,No,2,"No gym, No pool",4,2018
43:15.4,26 West,2021-2022,1274.0,2,No,2,Includes a parking lot,5,2008
36:22.0,900 W 23rd,2020-2021,400.0,3,Yes,2,"Includes a parking lot, Unfurnished, No gym, No pool",1,2003
37:29.4,Texan Pearl,2021-2022,1100.0,2,No,2,"Includes a parking lot, No gym, No pool",4,2018
38:02.9,Regents West on 26th,2022-2023,800.0,4,No,2,"Includes a parking lot, Unfurnished, No pool",5,2012
37:46.6,Skyloft,2019 and before,1500.0,2,No,2,,4,2018
38:18.9,Inspire,2019-2020,1300.0,4,No,4,Includes a parking lot,4,2019
38:41.1,Inspire,2020-2021,1400.0,4,No,4,Includes a parking lot,2,2019
39:04.7,Regents West on 26th,2021-2022,1100.0,4,No,3,"Includes a parking lot, Unfurnished",2,2012
39:35.1,2215,2022-2023,1550.0,1,No,1,"Includes a parking lot, Unfurnished",4,2016
41:51.5,The Standard,2022-2023,1319.0,4,No,4,Includes a parking lot,5,2020
42:11.5,The Standard,2021-2022,1379.0,4,No,4,Includes a parking lot,5,2020
51:02.4,Skyloft,2022-2023,1000.0,2,No,3,,3,2018
51:30.4,Skyloft,2021-2022,1000.0,2,No,2,,3,2018
35:37.7,Skyloft,2022-2023,849.0,3,No,3,Includes a parking lot,4,2018
36:17.9,Skyloft,2023-2024,1060.0,3,No,3,Includes a parking lot,2,2018
55:10.4,Skyloft,2022-2023,1030.0,4,No,3,,5,2018
55:33.6,Skyloft,2022-2023,1130.0,4,No,3,Includes a parking lot,5,2018
55:49.5,Skyloft,2023-2024,1100.0,4,No,3,Includes a parking lot,5,2018
56:11.2,Skyloft,2023-2024,1080.0,4,No,3,,4,2018
31:43.4,Quarters Nueces House,2023-2024,1000.0,3,No,3,,4,2008
32:56.9,26 West,2022-2023,900.0,4,No,4,Includes a parking lot,4,2008
38:51.3,Axis West Campus,2022-2023,975.0,4,No,4,,3,2012
38:53.5,Signature 1909,2022-2023,954.0,4,No,4,No window,4,2018
44:03.8,Villas on Nueces,2022-2023,800.0,2,Yes,2,Includes a parking lot,5,2019
30:33.2,Quarters Grayson House,2021-2022,750.0,4,No,4,Includes a parking lot,4,2008
25:18.6,Nine at Rio,2022-2023,1050.0,4,No,4,"Includes a parking lot, No window",4,2019
25:08.7,Lark,2021-2022,1050.0,3,No,3,Includes a parking lot,5,2019
25:37.6,Nine at Rio,2022-2023,1150.0,4,No,4,Includes a parking lot,4,2019
18:52.6,Inspire,2022-2023,1365.0,3,No,3,,3,2019
35:05.4,Inspire,2022-2023,1150.0,5,No,5,,4,2019
24:19.7,Skyloft,2022-2023,1110.0,4,Yes,3,,3,2018
59:06.5,2215,2022-2023,1080.0,3,No,3,No pool,4,2016
55:06.4,Quarters Nueces House,2022-2023,898.0,3,No,3,,2,2008
16:46.1,26 West,2022-2023,960.0,4,No,4,Includes a parking lot,5,2008
49:16.3,Ion,2022-2023,1155.0,2,No,2,,4,2017
11:45.1,26 West,2022-2023,1150.0,2,Yes,1,Includes a parking lot,3,2008
12:05.3,Villas on Rio,2022-2023,729.0,2,Yes,2,Includes a parking lot,5,2021
12:35.7,Moontower,2021-2022,1091.0,4,No,4,,4,2020
13:13.2,2215,2021-2022,762.5,1,Yes,1,"Unfurnished, No pool",5,2016
26:10.3,26 West,2022-2023,1700.0,1,No,1,Includes a parking lot,5,2008
32:53.7,Hilltop,2022-2023,1025.0,5,No,5,,3,2020
35:34.9,Hilltop,2022-2023,975.0,5,No,5,Includes a parking lot,4,2020
36:13.6,Hilltop,2022-2023,975.0,5,No,5,,1,2020
39:11.6,Regents West at 24th,2022-2023,1400.0,2,No,2,"Includes a parking lot, No pool",5,2012
46:27.1,Quarters Sterling House,2022-2023,1150.0,2,No,2,"Includes a parking lot, No pool",4,2017
48:54.9,2505 San Gabriel St,2022-2023,750.0,3,No,2,"Includes a parking lot, Unfurnished, No gym",3,2019
01:33.0,Regents West at 24th,2019-2020,1180.0,2,No,2,Includes a parking lot,3,2012
12:21.8,Sabina,2022-2023,1500.0,1,No,1,"Includes a parking lot, Unfurnished",4,2014
36:09.9,Crest at Pearl,2022-2023,1279.0,2,No,2,,2,2015
56:08.0,The G,2022-2023,950.0,2,Yes,2,"Includes a parking lot, No gym",3,2017
35:44.6,Block on 28th,2021-2022,675.0,3,Yes,2,"No gym, No pool",2,2007
12:35.8,Torre,2022-2023,1299.0,6,No,6,"Includes a parking lot, No window",5,2021
13:20.2,Nine at Rio,2021-2022,1100.0,4,No,4,"Includes a parking lot, No window",3,2019
57:49.9,26 West,2020-2021,1200.0,2,No,4,Includes a parking lot,4,2008
58:33.8,Block on 23rd,2022-2023,1080.0,2,No,2,"Includes a parking lot, Unfurnished, No gym, No pool",3,2012
44:57.2,Yugo Austin Nueces,2022-2023,1000.0,4,No,2,Includes a parking lot,4,2018
27:22.3,Block on 23rd,2022-2023,899.0,4,No,4,No pool,3,2012
32:02.1,Legacy on Rio,2022-2023,1100.0,4,No,4,,3,2021
34:53.0,Vanderbilt Condominiums,2021-2022,1300.0,1,Yes,1,"Includes a parking lot, Unfurnished, No gym, No pool",1,1984
35:56.4,Villas on Nueces,2022-2023,1200.0,3,No,3,Includes a parking lot,5,2019
06:32.1,Quarters Nueces House,2021-2022,1000.0,2,No,2,Unfurnished,4,2008
28:45.2,Lark,2022-2023,1000.0,3,No,3,"Includes a parking lot, No window",5,2019
30:11.2,Nine at Rio,2021-2022,1000.0,4,No,4,,5,2019
55:46.3,Lark,2022-2023,928.0,3,No,3,No window,4,2019
04:11.9,Cortland Southpark Terraces,2022-2023,1510.0,2,No,1,"Includes a parking lot, Unfurnished",4,2008
05:07.6,Oak Park Apartments,2021-2022,1100.0,2,No,1,"Includes a parking lot, Unfurnished",3,1978
06:29.7,Baccarat Apartments,2020-2021,850.0,1,No,1,Includes a parking lot,3,1969
00:24.6,Block on 25th East,2021-2022,600.0,2,Yes,2,"No window, No pool",4,0
01:06.9,River Oaks,2022-2023,750.0,1,Yes,1,"Unfurnished, No gym",3,1962
01:50.7,Quarters Nueces House,2023-2024,1200.0,3,No,3,Includes a parking lot,4,2008
49:08.8,Texan 26,2022-2023,770.0,3,"Yes, No",2,"No window, No gym, No pool",5,2017
57:43.0,Lark,2022-2023,1100.0,3,No,3,"Includes a parking lot, No window",4,2019
06:37.4,Lark,2022-2023,1085.0,3,No,3,No window,4,2019
47:18.4,Quarters Grayson House,2022-2023,657.0,2,Yes,2,"Includes a parking lot, Unfurnished, No pool",3,2008
55:05.8,Quarters Grayson House,2022-2023,615.0,2,Yes,2,"Unfurnished, No pool",3,2008
57:40.5,Sandpiper Apartments,2022-2023,850.0,2,No,2,"Includes a parking lot, Unfurnished, No gym, No pool",3,1967
42:08.8,Villas on Nueces,2022-2023,1350.0,3,No,3,Includes a parking lot,5,2019
21:22.2,Buckingham Apartments,2021-2022,1500.0,1,No,1,"Includes a parking lot, Unfurnished, No gym, No pool",4,2009
25:30.3,2400 Nueces,2019 and before,1775.0,1,No,1,"Includes a parking lot, Unfurnished",4,2012
25:54.5,2400 Nueces,2019-2020,1825.0,1,No,1,"Includes a parking lot, Unfurnished",4,2012
26:20.7,Buckingham Apartments,2020-2021,1500.0,1,No,1,"Includes a parking lot, Unfurnished, No gym, No pool",5,2009
11:04.4,Ion,2022-2023,1604.0,2,No,2,Includes a parking lot,4,2017
46:43.3,Spencer View,2022-2023,1250.0,2,No,2,"Includes a parking lot, No gym, No pool",4,1997
47:28.0,Moon Court,2021-2022,1100.0,2,No,2,"No window, No gym, No pool",2,0
53:23.0,Block on 25th East,2021-2022,560.0,2,Yes,2,"Includes a parking lot, Unfurnished, No window",4,0
53:47.6,Block on 25th East,2021-2022,650.0,2,Yes,2,"Includes a parking lot, Unfurnished",3,0
54:02.4,Block on 23rd,2022-2023,1235.0,2,No,2,Includes a parking lot,4,2012
00:28.7,River Oaks Apts,2022-2023,770.0,1,Yes,1,"Unfurnished, No gym",4,2017
41:27.9,Quarters Cameron House,2022-2023,1312.0,3,No,3,Includes a parking lot,4,2006
45:57.4,Block on 25th East,2023-2024,644.0,2,Yes,2,Includes a parking lot,4,0
47:25.9,Longhorn at 25th,2022-2023,925.0,2,No,2,Includes a parking lot,4,2019
50:15.2,Quarters Sterling House,2022-2023,1344.0,1,No,1,Includes a parking lot,2,2017
12:23.6,Yugo on Rio,2022-2023,1350.0,5,No,4,"Includes a parking lot, No pool",3,2018
17:53.2,Pearl Street Co-Op,2022-2023,917.0,1,No,1,Includes a parking lot,5,1964
23:04.0,2400 Nueces,2022-2023,1550.0,1,No,1,Includes a parking lot,4,2012
52:25.4,The Galileo on 25th,2022-2023,1200.0,3,No,2,"Includes a parking lot, Unfurnished, No gym, No pool",3,2008
53:09.9,Callaway,2022-2023,2500.0,2,Yes,2,Includes a parking lot,3,2013
53:36.4,Block on 23rd,2022-2023,929.0,3,No,2,"Includes a parking lot, No pool",3,2012
